epoch,loss,val_loss,member,run,stage
5,0.18345987796783447,0.19349685311317444,0,Single ordinal,Strategy
6,0.17570622265338898,0.18882934749126434,0,Single ordinal,Strategy
7,0.16905833780765533,0.1862286776304245,0,Single ordinal,Strategy
8,0.16272838413715363,0.18329064548015594,0,Single ordinal,Strategy
9,0.1574590504169464,0.1815422624349594,0,Single ordinal,Strategy
10,0.15305140614509583,0.17957265675067902,0,Single ordinal,Strategy
11,0.1487109512090683,0.18131661415100098,0,Single ordinal,Strategy
12,0.14458321034908295,0.17812694609165192,0,Single ordinal,Strategy
13,0.1408337950706482,0.18397453427314758,0,Single ordinal,Strategy
14,0.1371634155511856,0.17905095219612122,0,Single ordinal,Strategy
15,0.13288432359695435,0.1819233000278473,0,Single ordinal,Strategy
16,0.1300588697195053,0.1824149340391159,0,Single ordinal,Strategy
17,0.12660281360149384,0.1918782889842987,0,Single ordinal,Strategy
18,0.12394513934850693,0.18739502131938934,0,Single ordinal,Strategy
19,0.12083332240581512,0.19085155427455902,0,Single ordinal,Strategy
20,0.11750328540802002,0.1915431171655655,0,Single ordinal,Strategy
21,0.11485578119754791,0.19658097624778748,0,Single ordinal,Strategy
22,0.1119343563914299,0.19648979604244232,0,Single ordinal,Strategy
23,0.10954533517360687,0.20834684371948242,0,Single ordinal,Strategy
24,0.1067294031381607,0.21103952825069427,0,Single ordinal,Strategy
25,0.10525772720575333,0.21002015471458435,0,Single ordinal,Strategy
26,0.10118081420660019,0.21616105735301971,0,Single ordinal,Strategy
27,0.09925582259893417,0.22458212077617645,0,Single ordinal,Strategy
28,0.09782958030700684,0.21797098219394684,0,Single ordinal,Strategy
29,0.09478320926427841,0.22440244257450104,0,Single ordinal,Strategy
30,0.09402473270893097,0.2386920303106308,0,Single ordinal,Strategy
31,0.09023238718509674,0.2358705997467041,0,Single ordinal,Strategy
32,0.08756193518638611,0.2499302327632904,0,Single ordinal,Strategy
33,0.0851585865020752,0.25136688351631165,0,Single ordinal,Strategy
34,0.08323057740926743,0.2535592019557953,0,Single ordinal,Strategy
35,0.08195982128381729,0.2521439492702484,0,Single ordinal,Strategy
36,0.0809612050652504,0.2578152120113373,0,Single ordinal,Strategy
37,0.07814215123653412,0.26299014687538147,0,Single ordinal,Strategy
38,0.07694824039936066,0.2720853090286255,0,Single ordinal,Strategy
39,0.07464134693145752,0.2735802233219147,0,Single ordinal,Strategy
40,0.0735282450914383,0.28242695331573486,0,Single ordinal,Strategy
41,0.07082481682300568,0.28607383370399475,0,Single ordinal,Strategy
42,0.06929323077201843,0.2921909987926483,0,Single ordinal,Strategy
